id,name,url,type,primary_use,address,neighbourhood,ownership,area,capacity,active_space,longitude,latitiude
117,Emily Carr Institute of Art + Design 1612 Gallery,,Museum/Gallery,Museum/Gallery,"1612 W 3rd Av, Vancouver, BC, V6J 1K2",Fairview,,2833,,Yes,-123.1411548,49.2688004
118,Equinox Gallery,www.equinoxgallery.com,Museum/Gallery,Museum/Gallery,"525 Great Northern Way, Vancouver, BC, V5T 1E1",Strathcona,Privately Owned,14000,,Yes,-123.09226,49.267609
119,Falaise Park Field House,http://vancouver.ca/parks-recreation-culture/falaise-park-fieldhouse.aspx,Studio/Rehearsal ,Artist Studio,"3434 Falaise Av, Vancouver, BC, V5M 4C1",Renfrew-Collingwood,Park Board/COV,,,Yes,-123.03,49.2551
120,False Creek Community Centre,http://www.falsecreekcc.ca/,Community Space,Community Centre/Hall,"1318 Cartwright St, Vancouver, BC, V6H 3R8",Fairview,Park Board/COV,,,Yes,-123.1340203,49.26939707
121,FanClub,http://vancouverfanclub.ca/,Theatre/Performance,Performance Space,"1050 Granville St, Vancouver, BC, V6Z 1L2",Downtown,Privately Owned,6500,,Yes,-123.1235587,49.2784977
122,"Faris Family Studio, The",,Theatre/Performance,Theatre,"677 Davie St, Vancouver, BC, V6B 2G6",Downtown,Non-Profit,2944,154,Yes,-123.125711,49.277065
123,Federation Gallery,http://artists.ca/federation_gallery,Museum/Gallery,Museum/Gallery,"1241 Cartwright St, Vancouver, BC, V6H 4B7",Fairview,Privately Owned,1200,,Yes,-123.13225,49.269582
124,Fei & Milton Wong Experimental Theatre,http://www.gvpta.ca/vancouver-theatre-guide/venue/fei-and-milton-wong-experimental-theatre-goldcorp-centre-for-the-arts/,Theatre/Performance,Theatre,"149 W Hastings St, Vancouver, BC, V6B 1H4",Downtown,Other,,440,Yes,-123.10859,49.282402
125,FIELD Contemporary,www.field-contemporary.com,Museum/Gallery,Museum/Gallery,"17 W Broadway, Vancouver, BC, V5Y 1P1",Mount Pleasant,Privately Owned,800,,Yes,-123.1058083,49.2630895
126,Firehall Arts Centre,www.firehallartscentre.ca?,Theatre/Performance,Theatre,"280 E Cordova St, Vancouver, BC, V6A 1L3",Strathcona,City of Vancouver,12386,136,Yes,-123.097921,49.282083
